Id,RandomForest_Prediction,Boosting Prediction,SVM_Prediction
115,4174020.61056515,7700141.33246305,4065776.05885858
116,3170595.6505202,3477127.47295038,3403488.68525145
117,4576529.72079241,12181355.9905808,4168395.42549811
118,3717500.85889784,7031126.05971724,2764356.97523761
119,4447891.72720633,5418494.84488182,4127611.29761436
120,4819468.45376708,5212896.1103013,4449666.60183909
121,4544261.01783247,7509284.88313957,4673446.57383875
122,3860220.93783,3883773.76219217,3932129.12922008
123,5334789.12344648,3087751.76200436,5063524.27971901
124,2851580.31161764,1982445.37878537,3216415.55075675
125,3962341.50852792,1545358.5604629,4133818.92107396
126,5007141.88976271,6528589.86268482,4127651.26986478
127,3612782.78182648,2726347.11572728,3041856.45695313
128,3922199.29338448,6533015.38264289,4127648.71359725
129,4176361.68291949,2526610.31349083,4135956.08822526
130,2483046.91180108,1486998.2225183,3249630.76741677
131,4669734.57892183,5411721.47057896,4127707.24350338
132,4879151.88210464,11282864.8606742,3670912.37144825
133,3170056.22192819,3915130.91169303,4128337.15039898
134,4240794.97722544,3603841.99046434,4124607.979699
135,3632394.88115807,4922034.00022258,4127667.9186978
136,3980008.40205742,7188400.68825474,4014706.31819407
137,3862908.57666644,1184151.88905772,4121843.11523321
138,4088469.91537589,3019536.78084028,4127587.195436
139,4405738.14444929,3098532.19519352,3244653.91028615
140,5670413.73892149,5886230.55844158,4146355.25481878
141,2652041.94087241,2644293.36921028,2406195.67532136
142,4604167.4645122,2857297.47949433,3996903.15402554
143,2783507.11357909,1215802.42182368,3874897.85549452
144,4503833.81176978,8374303.28096434,4116258.1670042
145,3714422.29090009,6453799.9648007,4128002.65133583
146,4495373.6699262,4224067.1738294,3946003.62658934
147,3231121.23971498,1602127.84001552,3335116.00499133
148,4123132.26857295,12720403.7643815,3681390.82729311
149,4507939.11872814,5181589.30434298,4260782.64186527
150,3839256.47644387,3937558.17832603,3618226.98987573
151,2561743.08652867,1579621.92848408,3579780.73775155
152,4967210.42282909,3364813.40855234,4096841.24743522
153,5538506.1647694,7692329.78475641,4183482.63349775
154,3209051.04266639,3715813.49313304,3361156.91597273
155,4995205.05305667,7875335.23586423,4438594.53854684
156,4649795.87450227,2922347.58034462,4058533.55073331
157,4618011.1236485,3252636.10943954,4109613.29778936
158,3404952.33582711,2165052.09155374,4166933.977487
159,3897619.44533741,3797191.87985243,2917521.54757178
160,2811213.15415987,2797519.37715049,2978697.37012094
161,4024549.24119025,1977749.21452684,4035053.04568707
162,3503332.17957273,8180117.43691449,4115545.17976304
163,5898035.16968667,6395184.28117086,4390767.39395225
164,6075420.17192883,7009776.60874121,4146067.46769522
165,2972720.57536058,1165454.00478291,2905931.37467613
166,4209191.94320559,3675288.28266745,4127114.65621725
167,3351276.16278445,2001153.92090818,3611457.08476202
168,3917313.49246621,2887009.77046864,3959110.19970845
169,4649427.69872959,6717048.03205039,4775645.01049983
170,3919239.25614791,3100213.91729276,3184445.82822621
171,3202958.50980476,2847193.57580974,3783269.57431891
172,3611815.60161759,1595351.29019907,4129729.87727534
173,4056434.35214643,2052975.59344971,4663984.32363266
174,4841411.64569901,10286338.5906947,4309532.26213864
175,2610961.81685378,3510942.0424872,3569027.84784756
176,5595807.23442768,4563740.78534517,5252424.62698707
177,4579100.29291818,6253265.50054669,3503078.55077184
178,3947538.54602846,5517460.2915395,4197637.7023811
179,3501511.78978095,3135343.10916668,3578124.25840544
180,4025656.7562426,3359913.66683659,3609322.92574852
181,4148649.20724072,3589043.45217787,3602666.90092743
182,4571877.42826032,2543363.74030801,4234294.22049079
183,3959754.49289896,4464654.27733038,4126761.61305317
184,4305475.37632591,5430071.72127379,4127556.27592905
185,3477729.29615269,4681715.53851463,2875671.55843988
186,3160157.5657222,2891690.81961051,2915860.53487944
187,5498434.1489904,5573873.57957011,4418763.80775732
188,5110607.07304972,9933646.99701143,4420173.30150438
189,4351508.18389396,2339582.41480366,3920116.44216821
190,4162530.95164413,2139891.83901391,4131052.2651665
191,4720641.05647978,2966218.90370111,4147374.95374473
192,5221843.76534963,4536729.23992977,4360556.46351272
193,3685967.97848434,2344254.92932249,3574457.99942795
194,4190443.22888575,5160735.01157371,4127540.83319226
195,4994094.0997387,5232747.55811541,3868481.90704722
196,4223988.0942566,3590152.80294446,4099774.24760979
197,2275422.06493008,1717556.02864913,2814039.68181835
198,3195675.05433388,2149810.57779162,3781106.78442897
199,4380153.42420344,3468296.25765313,4312196.20893682
200,3970284.73779918,3461198.47480894,3752784.86537327
201,3390663.48576975,2566741.85167294,3892558.08839499
202,4113521.82014236,4709818.17118848,3809989.17738755
203,4776355.99313498,4824339.02821084,4346830.64392574
204,4882481.06189526,3443561.96953895,5599719.95427704
205,5215801.54999139,3524177.15241733,4796743.65797477
206,4496460.85602755,3068756.90819696,4127636.35662137
207,4093996.15995094,6243955.90801877,4131597.11992655
208,4414264.99705656,2489820.75371873,4069629.15701318
209,3609762.15155808,2574783.16492838,3154872.37475008
210,4247210.65741033,4199251.06882617,3960657.24896774
211,4514449.06364572,6880155.29116515,3641949.92291593
212,3079218.92245801,2559173.02192267,3870610.4013239
213,3259008.17930072,2443631.07681507,4071226.80556214
214,5428806.86631136,5201575.41993123,4140038.45609192
215,2049459.65166824,1497556.15815656,2007523.43414438
216,4503917.86606585,2756084.39468458,4153525.04368811
217,4785311.54253448,7694861.85972484,4143514.01260264
218,3849006.21511902,4184276.194774,3597009.85705116
219,2769107.17094617,2119158.78216347,2802588.89493369
220,5437917.8276776,2315863.53138045,5038032.4088916
221,4566014.0804793,1731492.48931126,4126895.80225635
222,4647325.17751672,2133137.33825932,3942601.81532791
223,3960436.51414545,5029048.24509609,3511051.27266858
224,4514601.18324255,4633450.42270802,3885766.42153935
225,4052281.28503854,1677486.67755217,4127649.78965724
226,2877469.86783204,1531104.53558601,4644351.4776331
227,5876704.34992063,5304552.01010425,6627636.20168695
228,3010754.13624096,2188809.78099744,3434903.72973712
229,4576360.96685033,3437386.40060346,4127649.77431918
230,4212958.95168919,8071603.34979005,4039446.23840036
231,5658015.23091558,6851913.77280672,4229794.79965641
232,4615970.2642641,5777931.88687427,3535926.85291181
233,3868664.10534589,3709701.09961383,3804825.19282507
234,3780598.52988531,4137366.44566969,4654622.73428811
235,4537238.53410324,5647141.58366708,3706345.69243265
236,4066044.46287099,3547124.70411922,4229798.13199786
237,3236353.9934433,2606151.25452499,3142749.55367638
238,4001564.42185226,8680508.27447794,4176809.78756624
239,4399809.14223227,10073553.8773475,4127651.48011702
240,4155321.29386108,5764491.07929347,4083241.76015322
241,3848977.58501004,3247606.67554847,3527709.82190831
242,3362654.48428059,3072460.88671311,3528803.83441143
243,4251756.73349003,1119484.13363212,4127663.84313417
244,4330314.49490439,15194105.1985191,4127650.12572274
245,4772116.72668722,11347964.1265155,4760393.56154346
246,3722658.26327458,7700414.52163913,3308544.50376428
247,4544008.7334761,1361856.54745045,3608780.87635572
248,4264732.22787975,5618724.64050972,4178336.81383153
249,4216089.20589487,3482547.02356124,4243481.64297199
250,2721221.57317758,1235025.66282204,4124617.81778428
251,4364706.18569076,6563593.74591342,3954206.65757026
252,5307959.26033279,8363219.88755428,4170487.8587102
253,4051304.42823086,2631863.3533303,3311376.31028817
254,4146138.78638156,2441233.52601673,4533783.63276043
255,3553659.85317776,1159384.99372986,4122141.28321098
256,3867559.09156574,3285624.06346856,4249109.24914325
257,4138176.67898064,3583935.52493367,4033274.63083346
258,3419153.53417914,3074282.06240364,4123153.06168566
259,3684974.67631507,3017476.82810715,3745681.2949842
260,4112450.82518371,3753541.51696415,3606444.20229775
261,3733193.30739399,2101975.5793374,4119067.98665807
262,5245993.40275252,5075070.79803304,4187806.31720523
263,4266302.62062126,5284447.91397853,3518607.45458633
264,2143688.62589663,1821648.9815777,2999279.80495601
265,4985934.90840226,4196924.11336807,4862504.19631368
266,3900454.74697788,2851929.59684476,3786520.69589985
267,5832631.25970592,4816107.11361683,5990706.68430172
268,4764106.73525524,5838020.04307025,4142030.34840524
269,3978013.98549158,6319844.51170667,4091968.21535259
270,3907472.93782065,10843965.7889994,3352089.33691508
271,2551765.52309373,2048355.25092898,3663006.03333203
272,4648171.49243123,6153111.31277139,4173244.01333113
273,4620442.60811435,4073540.99667809,4360344.04230966
274,3599347.69687726,1754901.03726883,2746379.15594744
275,5472039.87260526,5638536.21902985,5265316.27312439
276,5855204.79367439,5234098.07247824,4128841.81197368
277,5106008.52006343,6472754.14939678,4546227.71746294
278,4644646.12164461,5844690.09451781,3541230.59659116
279,3842759.97876596,1488172.66331209,4024656.84874534
280,4838964.37443019,3575750.26213835,3953542.64505488
281,3624236.80717424,2612572.55319526,4377726.98653139
282,3198852.92384197,1761149.79369452,3030618.04442498
283,3845924.15530292,3134081.44889049,3714917.21312857
284,4278474.45905841,5707354.67660374,4365820.20144295
285,2492264.56442425,1666856.06162508,3436503.77781716
286,4647927.05628068,8375571.55543803,4173244.15689492
287,3906096.50520468,1158814.87711338,4127639.15018471
288,4456693.07432246,23460577.955915,4049798.94615814
289,3544756.94430237,2261267.51512248,3930229.26686452
290,4071219.81109139,4124666.46640964,4274306.34125286
291,4338970.37971073,2822411.33335429,3781577.41312624
292,3302087.81295551,5213553.61636529,4174282.3800954
293,4696508.20911541,1113272.02025259,4152508.26765003
294,3289990.86501463,2042217.04414426,4014872.59327057
295,5257244.4732861,2370659.08236214,4194942.9631703
296,4722381.87729623,3755926.8677124,4242387.49970555
297,5527755.9676611,6006717.04379155,4278168.08006041
298,4441860.0743848,3479714.52246556,4097193.73926585
299,4709256.19192431,10362077.2663707,4394806.96088724
300,4294822.68996851,2258500.52553855,4138068.341913
301,4969154.40482273,13793078.4303549,4038484.39029967
302,4538904.70965973,3443691.25072976,4106548.26953303
303,5381170.20649175,4133041.27380746,5505541.30849195
304,4160803.32269535,6225094.92434725,3406573.83295312
305,4396328.49396481,5925032.14946437,4128051.44621426
306,3731558.9087187,3198195.92060137,2480333.7971329
307,4420281.5402037,3013186.58756039,3680655.77711197
308,2089147.82833416,2056418.77905113,3236894.91295935
309,3983008.08628984,3146986.98727883,4924914.58351648
310,4337329.74446789,2728919.74674725,3544229.04958179
311,3414219.36849251,3676313.65398308,2828968.01975916
312,3137504.81667673,2024293.02212787,3294601.12236851
313,3943054.9517538,1927561.59014162,4127647.48314103
314,3109070.39367107,4632573.89884254,4106667.85356027
315,3140316.15410823,1839885.54731486,4129506.89824979
316,2437802.80633851,1855790.85107895,2808226.63371966
317,4182850.81229943,7033232.96307351,3466960.58946241
318,5089620.41545773,6215120.62026643,4128288.22325328
319,3584101.60673882,4065958.18773962,4357818.78120494
320,3642006.92984044,3768776.27616638,3783025.41518503
321,3285419.42609812,2743839.84019909,3066336.80346658
322,3867399.42119755,2130890.14261469,3166740.34224213
323,4694699.74681508,2489531.76672154,4102733.24926197
324,3983155.9765811,2653089.24193416,3507434.58520907
325,3943982.93224376,4421151.57372498,4378940.25480363
326,4614700.22448578,4280403.34612243,4019370.24739159
327,4318274.31048193,9022786.99015393,4138072.18720771
328,4451472.60856409,2754889.2346458,3740187.64113581
329,5609025.89181216,10888145.9824396,4646560.94144053
330,2995440.67321729,1755734.06840297,3600696.29174875
331,4862023.87619777,1438660.42438263,4185412.59471022
332,4410020.25140152,3661224.26739484,4205694.22648095
333,5521756.68714766,11559795.8539256,4714800.19819469
334,5334299.551109,1908702.40685556,4331526.6339205
335,4375057.23771408,15426641.4218077,4007297.95266622
336,2853084.67667645,1937845.79924998,2603645.33099374
337,4306215.1741293,3540479.12104003,4083171.92952999
338,3913096.00421426,3440422.27884936,4120116.09286691
339,2983343.92083477,2461314.43608132,3736858.07147816
340,4703709.41177039,4439200.70216528,4128015.73479743
341,4241269.66189706,6660140.84668963,3212105.05703341
342,4496221.30905089,958297.698553644,4127674.53515829
343,4532265.92462283,5323447.64431771,4136360.68809284
344,4630486.63248362,3701681.30194163,5223490.50200938
345,3833199.31024716,3478492.73499771,3593805.01857471
346,3442234.31884241,3468115.47479471,3255835.31526867
347,5274472.67498743,5479030.75528778,5422057.60399791
348,2702929.04000763,3316642.89242547,3514282.3453656
349,4552874.7587116,2490480.09395657,4509235.34837735
350,4177480.48189492,2665287.43495517,3680279.92690259
351,4906179.83067576,6602409.97582243,4668787.99125145
352,5072460.52418666,3098794.24951377,4513387.14593225
353,3261223.99367009,3649640.52648161,3754951.30849686
354,3559695.2277692,2059910.18637734,4019890.07532086
355,4107105.50312494,4984423.07383969,4705178.99615453
356,4728427.7716253,10231668.3018969,4131766.1031067
357,4354972.28686978,6361354.4410303,4160815.46494715
358,4494467.56430785,5921943.95403371,4144491.05705196
359,4699562.41272639,7129553.90141768,3892800.54535446
360,4176361.68291949,2526610.31349083,4135956.08822526
361,4021896.98073037,6406815.15575813,3902732.81241998
362,3801981.83405073,4844141.74862811,3414855.17301628
363,4311835.00256519,5476934.47139027,4080516.64494833
364,5346720.89977561,15503301.1139947,4051414.66529504
365,3425555.17891217,4160241.89681983,3670166.51006662
366,2515582.25758636,1899744.23716517,3861752.76018043
367,3612091.64978014,4634281.98507376,3469842.99754239
368,3512828.69000771,6042887.54736887,4134830.66959397
369,4695725.62773117,2961519.39834771,4015508.31804577
370,3901869.14026094,1616158.08103792,3096988.0147718
371,4336435.80223107,4491542.11052287,3531458.44908801
372,4776452.43921655,8267454.69674612,4192004.12216016
373,5178712.73091153,4380866.96018785,4506185.63059242
374,3487127.29674062,2301543.34537735,3598679.68844434
375,4470004.67292873,2911207.87593879,3766045.27953375
376,3458423.98497621,3574125.09988372,3858176.71090996
377,3445888.93850914,2548412.80080212,4535229.08827048
378,4728793.82945614,3315603.41367875,4707616.94760367
379,4515927.98115125,5738808.07244002,3742280.38999726
380,4798890.99900655,7300124.757835,4118908.68823541
381,3577560.18317173,3000184.72751993,3620798.20711171
382,3167534.4187526,3282604.67327384,3768277.24792542
383,4823711.19105319,6603929.20551604,4363375.14069033
384,3707433.01246471,3391001.77501227,4881971.29841102
385,5750102.07674542,7802298.50950901,5213590.07643024
386,3385570.18272304,4400249.17065977,3862253.47397474
387,4434433.321302,6462726.94340532,3944072.98582778
388,4606065.08510226,4150906.66105988,4879149.48677394
389,4243730.93877989,3993886.77913422,4127737.24475516
390,5239068.3262833,4296049.70157265,4542505.74011997
391,3301411.29119226,1494830.57127731,3965312.24070652
392,3178257.86732611,3951896.15050247,2983499.31046525
393,4152667.82534498,2496077.89128425,3766960.34197421
394,5608373.35847197,9861308.81321016,4449203.37254149
395,2532328.27247299,1610769.4886649,3030056.26081946
396,4802964.18759858,10031157.4859048,4340913.58003705
397,4818127.48406895,6519875.7653256,4226846.57216155
398,5717572.15304022,5192758.83241052,5516466.36668159
399,4891189.46550949,2085306.43234001,3984822.10368567
400,3017736.69764668,3643600.25789354,2939911.93025418
401,3483931.37791426,2981733.51899465,4143963.83263508
402,3526329.39398112,2664451.60741537,4178247.53989583
403,4295999.16111244,1666147.59060835,3917318.91117281
404,3146274.93446343,3420261.38874699,2888442.2180428
405,4285885.54509712,3581057.8675902,3241487.58674267
406,4268737.91830542,3805166.0008511,3538913.31238263
407,4178648.08601802,3592444.59933785,4577543.74670258
408,2383478.24538817,2008463.3455821,2820090.41634068
409,3490816.73180545,4368367.44457412,2942619.71303529
410,3539397.30993895,4009921.60749983,3944408.9415177
411,3591488.04081828,4345087.57490383,3842704.06650592
412,4178567.57789268,1848405.38264919,3820442.52822527
413,4626817.40834822,13617067.6836331,4127633.29732401
414,5003971.19039645,19574045.4648538,4127655.03524324
415,3851193.98470894,9795459.88415835,4129552.86867768
416,5238517.49144929,12120115.9032964,4099614.776149
417,2593327.14320864,1839520.33163086,2053491.7869593
418,3792298.81007022,2273189.10088081,3416761.17596635
419,2872085.43953458,3153584.37269884,4214521.0877381
420,4012835.03798928,6147900.30826428,4119753.35102857
421,4640067.99510792,8531624.25459309,4128367.40867899
422,4667123.96044756,8649057.76746598,3996218.77779159
423,3179590.82799599,1900190.43157779,3000075.51388084
424,4752175.41790788,6620865.62229861,4043964.10983673
425,4428482.89297635,7751082.07390777,4272424.27615601
426,4396501.90986744,8867857.72100978,3607341.59130556
427,3632265.04884375,3928277.72584697,3792148.47574591
428,4432298.39805473,2603171.07462627,4131346.50398016
429,3119375.87917822,2877226.85648246,3839877.74281216
430,3369568.0370536,2238450.48123473,3227284.74918804
431,3695346.21624094,4923087.89832541,4749264.9159288
432,2438510.60365028,1787191.63439132,3378511.69233677
433,3981869.94244782,3921333.60422893,3930557.07297285
434,3366340.90793338,1926166.54426467,2840285.31772608
435,4417341.67653467,9210878.16245493,4418158.91272241
436,3700735.60708837,3634156.91232672,4239084.35737651
437,2940223.31535919,2108339.75985514,2201074.5537359
438,2796263.45577533,3705324.99221723,3621198.56496599
439,4894746.44108866,7214043.00839185,3944608.51415852
440,4635876.85039929,2395396.78992235,4247799.56121591
441,4656217.36355916,2396127.27537015,3892842.96217876
442,4133909.13149557,3755222.13692981,4645426.5872544
443,4435697.44065624,3569600.38510659,4123044.1505812
444,4377324.33777108,2260508.81119427,4127650.54409279
445,4685843.59872539,3201030.25644556,3780752.32269505
446,5844259.58210696,11545826.6026802,5394459.60699182
447,4126264.22614306,3463253.91241528,2956260.97572909
448,4431398.1676061,8503426.78792664,4138262.2431574
449,6795369.25191527,6275717.69326887,4181966.23820786
450,4605586.56504757,4254228.41680585,4409217.98832154
451,3152539.02775415,4855280.82562631,4187089.92703709
452,3347034.52509664,3262743.26817268,3566201.42813568
453,4450840.26289388,7306452.14111146,4127652.8363437
454,4475950.11114196,2335855.74229322,4128070.40862101
455,3811602.36262372,1889147.38458112,4033420.55568489
456,2988695.35812007,2557401.77794132,3562240.1675395
457,3747772.82683303,3130382.79088576,4102265.50990367
458,3829967.14962076,3775523.57598912,4125151.33863235
459,2851994.19669196,1901255.03687046,2434426.86860863
460,4773731.48421141,7967915.4902919,4374322.90913036
461,4226057.51475835,3250203.48859239,3646792.04351331
462,4959109.93938159,1742129.49554508,4247660.91143476
463,2901705.63458175,1330767.6881408,3094546.6749364
464,4633022.00654773,3063192.79164571,4087977.16360275
465,3730802.32022152,6661551.47670784,3343218.54744433
466,4003792.89491717,1506908.10146185,3615037.66422922
467,3530251.52755309,2933703.80199028,4049680.33726063
468,3662318.89517381,3917890.72570176,4069868.11534187
469,4335887.38149846,2398868.27102174,4130168.46562935
470,3609652.65070201,3098344.02372805,2955486.17603072
471,4124021.08865512,3248971.94182236,4127151.37122859
472,3280023.63514735,2354186.11772883,2982099.90159927
473,4432586.33581149,3271490.47054634,3388761.0946734
474,4735994.60547032,3640608.35127637,4365276.53432626
475,3972922.40390665,6614581.1000555,4381803.92203064
476,3301419.18703065,3628892.57083589,2978219.61147039
477,4437306.32120869,5802621.71845842,4127645.8084642
478,3792127.86309955,2930332.36541887,4275781.72181568
479,4602186.98391049,5972260.4225276,4175751.29917218
480,3770728.74195083,2856836.60759057,4147694.94559724
481,6368465.89152212,4106785.79657262,3955341.14672832
482,3273378.80699138,2177595.78700126,4178689.21303398
483,4472066.95269213,7633338.18824098,4121168.64055895
484,5329028.58911327,10885609.060589,4792188.82883082
485,3324163.31892948,3151004.46749672,3095825.5403398
486,4105390.85472699,1874612.80181017,3505773.5513374
487,4734652.47555025,3163003.04113287,3743729.67092227
488,4644824.71379775,6422890.31711232,4127163.40166237
489,3764173.14392103,3105144.21974762,3468396.24451298
490,4400176.26293213,3237577.52359278,4070756.50771104
491,3014049.08237587,1533467.6956641,2782774.66722029
492,4503840.24939957,14442936.626168,4190980.13993128
493,4875155.22506335,19435490.337378,4130270.98024609
494,4047210.01826602,2490821.23805329,3920107.85689093
495,4201226.84180922,4459770.57516876,4299121.08038808
496,4760123.54830111,12478345.9190894,3918839.69704372
497,3831562.09939202,6049013.29790879,3278845.46582687
498,3872556.43481614,4164024.47873545,3774255.59241721
499,4360840.49532127,4596189.96824435,4250643.1417613
500,4479974.3304761,8524013.8306303,4690873.00536876
501,2554658.16295731,2234242.19198673,2868335.71551356
502,3993540.76790292,6524196.63540159,4299887.45239519
503,5496464.69051182,11296342.4406503,4796544.54142962
504,3218066.14977328,3202875.76003629,4727051.35819202
505,3690906.58870111,2691890.18926265,2974314.30313623
506,3452856.72601676,4581856.37335175,4058077.03648548
507,4432809.88045562,2412593.16980079,4921813.87656768
508,3265022.64245501,8660732.01205,3699865.65400888
509,4472075.90253121,2135768.79189824,4033198.62609995
510,5055253.10758907,4475661.00807186,4157208.66349026
511,4987749.41694347,5617110.60666776,4710851.23317364
512,2308363.08477122,2010243.75828591,3038842.3076132
513,4872454.94107277,2402717.25646137,4040904.99864008
514,3236110.54115146,1836135.66822692,2882711.20608567
515,2543467.86468269,2052638.65364246,2274385.99634783
516,3080856.00719274,2013041.23652965,4093017.92375516
517,4436582.49037254,3350446.22582846,4707340.83955066
518,4207310.25970363,5679424.47379382,4081692.95686894
519,4209957.63478552,1201221.10186008,3995837.33642631
520,3557929.43756243,4575014.8977792,3602775.98082405
521,5699497.90323245,5350530.40196249,6069637.55626109
522,5348834.48989836,10608866.0750685,4926512.63840746
523,5022299.71497752,2140921.86266854,4134096.66876186
524,4083885.62969123,3860672.62096086,4225128.6201778
525,4657830.10946342,2030147.24366406,4091742.54940042
526,2676637.52063244,3290652.55908776,3581360.12486835
527,4611820.04005199,4817577.51981661,4128109.63911372
528,5469212.23340016,6850183.81425285,5708356.92302587
529,4555823.34854235,4220829.11629753,4122969.10759903
530,3613922.51379059,1942088.50313751,3454009.88850162
531,3738643.04300246,5428430.29497659,5076161.10392706
532,4243045.81839393,13777395.4718771,4138824.53837161
533,3557349.18988299,1428279.54859912,3618608.61176421
534,5013993.77323431,2523200.66277551,4080766.910367
535,3890578.51495514,2675080.3023592,3779387.85090846
